strategy,execution,method,lookback,top_n,sell_fee,factor_count,factor_names,selection_policy,buffer_n,max_replacements,min_liquidity_quantile,max_volatility_quantile,trade_start_date,adjusted_prices,annual_return_cagr,annual_return_arithmetic,annual_volatility,sharpe_ratio,max_drawdown,final_nav,total_return,average_sell_turnover,trading_days
rolling_close,close,rolling,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.11026580,0.12749735,0.21414720,0.59537251,-0.23466258,11330784.60347867,0.13307846,0.48345386,301
expanding_close,close,expanding,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.08555046,0.10446505,0.21170106,0.49345548,-0.21138897,11030163.81472077,0.10301638,0.45863781,301
hybrid_close,close,hybrid,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.13004209,0.14396344,0.20847122,0.69056748,-0.19531270,11572270.41078259,0.15722704,0.45279051,301
adaptive_close,close,adaptive,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.16366276,0.17225362,0.20338134,0.84694899,-0.16058850,11984691.49447421,0.19846915,0.42113160,301
naive_close,close,naive,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,7.27459973,2.15121839,0.24312632,8.84815108,-0.09531681,124795176.38200431,11.47951764,0.83947955,301
rolling_open,open,rolling,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.19391335,0.20000116,0.21348148,0.93685489,-0.31159905,12357759.62769300,0.23577596,0.50119979,301
expanding_open,open,expanding,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.30089260,0.28475867,0.20812524,1.36820826,-0.23790512,13691626.88173298,0.36916269,0.51509585,301
hybrid_open,open,hybrid,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.28880655,0.27559659,0.20906750,1.31821823,-0.23591712,13539827.38076605,0.35398274,0.50617057,301
adaptive_open,open,adaptive,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,0.42581119,0.37561504,0.20366761,1.84425518,-0.18188648,15276312.04875514,0.52763120,0.46670305,301
naive_open,open,naive,60,10,0.00050000,4,"example_factor,momentum_20d,buy_sell_imbalance,volume_price_corr_20d",top_n,20,3,0.20000000,0.90000000,,True,8.90387002,2.33257827,0.24381698,9.56692316,-0.06273852,154679823.73207030,14.46798237,0.82900835,301
