strategy,execution,method,lookback,top_n,sell_fee,adjusted_prices,annual_return_cagr,annual_return_arithmetic,annual_volatility,sharpe_ratio,max_drawdown,final_nav,total_return,average_sell_turnover,trading_days
rolling_close,close,rolling,60,10,0.00050000,True,0.05708595,0.06938984,0.16654965,0.41663158,-0.23785195,10685587.77568505,0.06855878,0.42172167,301
expanding_close,close,expanding,60,10,0.00050000,True,0.12789416,0.13392928,0.16465623,0.81338727,-0.18926201,11546002.24464866,0.15460022,0.40022804,301
hybrid_close,close,hybrid,60,10,0.00050000,True,0.13031069,0.13617598,0.16532933,0.82366501,-0.18547642,11575555.92585460,0.15755559,0.40313232,301
adaptive_close,close,adaptive,60,10,0.00050000,True,0.12723057,0.13188066,0.15560972,0.84750911,-0.16347038,11537888.78510833,0.15378888,0.37674877,301
naive_close,close,naive,60,10,0.00050000,True,12.35786288,2.63293572,0.23645126,11.13521549,-0.08407127,221121149.23005027,21.11211492,0.83057058,301
rolling_open,open,rolling,60,10,0.00050000,True,0.02926970,0.04167669,0.16024947,0.26007381,-0.26407899,10350597.41387182,0.03505974,0.42997386,301
expanding_open,open,expanding,60,10,0.00050000,True,0.10884531,0.11608086,0.15978860,0.72646524,-0.21318253,11313471.20107614,0.13134712,0.42874507,301
hybrid_open,open,hybrid,60,10,0.00050000,True,0.10206656,0.11056165,0.16365146,0.67559220,-0.22006340,11230908.83624965,0.12309088,0.42736840,301
adaptive_open,open,adaptive,60,10,0.00050000,True,0.09307665,0.10074457,0.15334485,0.65698044,-0.20051733,11121567.81505155,0.11215678,0.39793461,301
naive_open,open,naive,60,10,0.00050000,True,13.71252659,2.73330938,0.24829772,11.00819345,-0.05311657,248163303.39523506,23.81633034,0.81979794,301
