date,bars,stocks,waiting_price_nonmissing,waiting_flow_absolute_sum,close_1500_vs_daily_max_abs_error
20250401,242,300,0,0.0000000000,0.0000000000
20250421,242,300,0,0.0000000000,0.0000000000
20250513,242,300,0,0.0000000000,0.0000000000
20250530,242,300,0,0.0000000000,0.0000000000
20250619,242,300,0,0.0000000000,0.0000000000
20250708,242,300,0,0.0000000000,0.0000000000
20250725,242,300,0,0.0000000000,0.0000000000
20250813,242,300,0,0.0000000000,0.0000000000
20250901,242,300,0,0.0000000000,0.0000000000
20250918,242,300,0,0.0000000000,0.0000000000
20251015,242,300,0,0.0000000000,0.0000000000
20251103,242,300,0,0.0000000000,0.0000000000
20251121,242,300,0,0.0000000000,0.0000000000
20251210,242,300,0,0.0000000000,0.0000000000
20251229,242,300,0,0.0000000000,0.0000000000
20260119,242,300,0,0.0000000000,0.0000000000
20260205,242,300,0,0.0000000000,0.0000000000
20260304,242,300,0,0.0000000000,0.0000000000
20260323,242,300,0,0.0000000000,0.0000000000
20260410,242,300,0,0.0000000000,0.0000000000
20260429,242,300,0,0.0000000000,0.0000000000
20260521,242,300,0,0.0000000000,0.0000000000
20260609,242,300,0,0.0000000000,0.0000000000
20260630,242,300,0,0.0000000000,0.0000000000
