factor,signal_date,Q1,Q2,Q3,Q4,Q5,Q1_minus_Q5
example_factor,2025-04-29,0.01284187,0.00420402,0.01021585,0.00611535,-0.00095612,0.01379799
example_factor,2025-04-30,0.02083370,0.02602471,0.02651018,0.02258974,0.01870508,0.00212861
example_factor,2025-05-06,0.01040728,0.00515124,0.01111169,0.00828576,-0.00162579,0.01203307
example_factor,2025-05-07,0.01544972,0.01408868,0.01274072,0.00808762,0.00156200,0.01388772
example_factor,2025-05-08,0.00287059,-0.00359961,-0.00713626,-0.01378072,-0.01915804,0.02202863
example_factor,2025-05-09,0.00772401,0.01043661,0.01016976,0.01290399,0.00379647,0.00392754
example_factor,2025-05-12,-0.00053995,0.00109849,0.00023978,0.00155873,-0.01151355,0.01097360
example_factor,2025-05-13,0.00668059,-0.00451082,0.00324291,-0.00279115,0.00185083,0.00482976
example_factor,2025-05-14,0.00251409,-0.00297095,-0.00269314,-0.00823048,-0.01324010,0.01575419
example_factor,2025-05-15,0.00683095,0.00631630,0.00461452,0.00230204,-0.00806957,0.01490053
example_factor,2025-05-16,0.01254409,0.01207484,0.00903144,0.01113254,0.00569727,0.00684682
example_factor,2025-05-19,0.00926940,0.00947142,0.01118312,0.01003486,0.01431229,-0.00504289
example_factor,2025-05-20,-0.00350620,-0.00153985,-0.00466962,-0.00446309,-0.01582926,0.01232306
example_factor,2025-05-21,-0.01098962,-0.01405938,-0.00949981,-0.00710640,-0.01385949,0.00286987
example_factor,2025-05-22,-0.00743141,-0.00940267,-0.00756853,-0.01363095,-0.01266022,0.00522882
example_factor,2025-05-23,0.01010914,0.01080721,0.00882216,0.01232237,0.00181407,0.00829508
example_factor,2025-05-26,0.01071687,0.00825550,0.01009455,0.00757339,0.00006683,0.01065003
example_factor,2025-05-27,0.00185021,-0.00157703,0.00012864,-0.00133339,-0.00559670,0.00744691
example_factor,2025-05-28,0.01247372,0.01092429,0.01906063,0.01611449,-0.00047292,0.01294664
example_factor,2025-05-29,-0.00812246,-0.01109804,-0.00622721,-0.01497253,-0.02354761,0.01542515
example_factor,2025-05-30,0.00533357,0.01149269,0.00561078,0.01155642,0.00292556,0.00240801
example_factor,2025-06-03,0.00951628,0.01185052,0.01136107,0.01412875,0.01028316,-0.00076688
example_factor,2025-06-04,-0.00147550,0.00323532,0.00087826,0.00129383,-0.00570004,0.00422455
example_factor,2025-06-05,0.01273764,0.00410231,0.00401894,0.00309248,-0.00744668,0.02018432
example_factor,2025-06-06,0.01018747,0.00873572,0.01373306,0.00796437,0.00941210,0.00077537
example_factor,2025-06-09,-0.00218362,-0.00067546,-0.00724985,-0.00950159,-0.00505805,0.00287444
example_factor,2025-06-10,0.00648495,0.00620243,0.00979332,0.00867807,0.00227744,0.00420751
example_factor,2025-06-11,0.00226663,0.00493597,0.00466711,0.00036183,0.00013276,0.00213387
example_factor,2025-06-12,-0.01255223,-0.01384341,-0.01932211,-0.02322644,-0.02336861,0.01081638
example_factor,2025-06-13,0.01015778,0.01255773,0.00641462,0.00747837,0.00625004,0.00390773
