factor,group,mean_daily_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,final_nav,t_stat,n_days
example_factor,Q1,0.00205822,0.64797619,0.19308298,2.68626100,-0.20010213,1.74895415,2.84166247,282
example_factor,Q2,0.00167709,0.49934256,0.18579441,2.27469826,-0.19443027,1.57340834,2.40629062,282
example_factor,Q3,0.00121554,0.33503282,0.18534975,1.65263995,-0.17163016,1.38175632,1.74824595,282
example_factor,Q4,0.00032442,0.06709041,0.18321049,0.44623048,-0.17248030,1.07537145,0.47204512,282
example_factor,Q5,-0.00296021,-0.53613124,0.20467375,-3.64468717,-0.59351209,0.42333118,-3.85553404,282
example_factor,Q1_minus_Q5,0.00501842,2.48689595,0.15878054,7.96472350,-0.12714220,4.04589920,8.42548651,282
momentum_5d,Q1,0.00066506,0.15510509,0.21610701,0.77551769,-0.22124262,1.18455549,0.84049918,296
momentum_5d,Q2,0.00117856,0.32066342,0.19341161,1.53557648,-0.17954492,1.38638178,1.66424414,296
momentum_5d,Q3,0.00128561,0.35978534,0.18126970,1.78724322,-0.19702152,1.43474494,1.93699832,296
momentum_5d,Q4,0.00093793,0.24699969,0.17600826,1.34287914,-0.19535236,1.29599974,1.45540048,296
momentum_5d,Q5,-0.00077562,-0.19092901,0.18054546,-1.08259035,-0.28263518,0.77968791,-1.17330180,296
momentum_5d,Q1_minus_Q5,0.00144068,0.42179229,0.14796342,2.45365762,-0.15291462,1.51189571,2.65925232,296
momentum_10d,Q1,0.00046822,0.10161526,0.20582562,0.57325727,-0.24185784,1.11823885,0.61602140,291
momentum_10d,Q2,0.00100631,0.26588410,0.18808113,1.34829845,-0.20263650,1.31292715,1.44887947,291
momentum_10d,Q3,0.00092349,0.24119989,0.18174214,1.28049703,-0.20208934,1.28340833,1.37602017,291
momentum_10d,Q4,0.00109148,0.29666350,0.17377767,1.58279336,-0.14217266,1.34985976,1.70086734,291
momentum_10d,Q5,-0.00087098,-0.21246080,0.19595172,-1.12010099,-0.33830971,0.75896032,-1.20365883,291
momentum_10d,Q1_minus_Q5,0.00133919,0.38580850,0.14868398,2.26975860,-0.17060687,1.45758363,2.43907916,291
momentum_20d,Q1,0.00094502,0.24492056,0.19481438,1.22241709,-0.19095878,1.27670476,1.29083967,281
momentum_20d,Q2,0.00102209,0.27054626,0.18966048,1.35803958,-0.20425728,1.30604350,1.43405337,281
momentum_20d,Q3,0.00099873,0.26381800,0.18656969,1.34898218,-0.16386162,1.29833370,1.42448900,281
momentum_20d,Q4,0.00029347,0.05892293,0.18253902,0.40514758,-0.23066537,1.06592274,0.42782499,281
momentum_20d,Q5,-0.00105645,-0.24829453,0.19490241,-1.36593663,-0.34533015,0.72741686,-1.44239246,281
momentum_20d,Q1_minus_Q5,0.00200146,0.63945583,0.13832131,3.64635634,-0.16353234,1.73543051,3.85045451,281
volatility_5d,Q1,0.00042590,0.09348508,0.18672088,0.57479977,-0.17530828,1.11186426,0.62611183,299
volatility_5d,Q2,0.00100765,0.25987811,0.21117872,1.20242687,-0.17628582,1.31534779,1.30976685,299
