factor,layer_spearman,adjacent_decreases_out_of_4,strictly_decreasing,q1_minus_q5_mean_daily_return,q1_minus_q5_t_stat,q1_minus_q5_final_nav,n_days
example_factor,-1.00000000,4,True,0.00501842,8.42548651,4.04589920,282
momentum_5d,-0.30000000,2,False,0.00144068,2.65925232,1.51189571,296
momentum_10d,-0.10000000,2,False,0.00133919,2.43907916,1.45758363,291
momentum_20d,-0.70000000,3,False,0.00200146,3.85045451,1.73543051,281
volatility_5d,-0.40000000,3,False,0.00177557,3.37874083,1.67894357,299
volatility_10d,-0.60000000,2,False,0.00196589,3.47468658,1.76371499,296
volatility_20d,-0.70000000,3,False,0.00150259,2.54014375,1.52532107,291
buy_sell_imbalance,-0.70000000,3,False,0.00123477,2.96347508,1.43855340,301
intraday_range,-0.10000000,2,False,0.00268111,4.36916065,2.20072999,301
volume_price_corr_20d,-1.00000000,4,True,0.00189331,4.97827158,1.72349641,291
