factor,group,label,mean_return,t_stat,n_days
example_factor,1,Q1,0.001816,2.215946,300
example_factor,2,Q2,0.001445,1.798940,300
example_factor,3,Q3,0.001153,1.503151,300
example_factor,4,Q4,0.000236,0.309237,300
example_factor,5,Q5,-0.003077,-3.760263,300
momentum_5d,1,Q1,0.000665,0.840235,296
momentum_5d,2,Q2,0.001188,1.678342,296
momentum_5d,3,Q3,0.001277,1.922914,296
momentum_5d,4,Q4,0.000944,1.466613,296
momentum_5d,5,Q5,-0.000776,-1.173302,296
momentum_10d,1,Q1,0.000467,0.614794,291
momentum_10d,2,Q2,0.001007,1.450631,291
momentum_10d,3,Q3,0.000923,1.375588,291
momentum_10d,4,Q4,0.001094,1.705411,291
momentum_10d,5,Q5,-0.000874,-1.207426,291
momentum_20d,1,Q1,0.000945,1.290455,281
momentum_20d,2,Q2,0.001023,1.435580,281
momentum_20d,3,Q3,0.000999,1.424489,281
momentum_20d,4,Q4,0.000295,0.429417,281
momentum_20d,5,Q5,-0.001056,-1.441647,281
volatility_5d,1,Q1,0.000426,0.626112,299
volatility_5d,2,Q2,0.001008,1.309767,299
volatility_5d,3,Q3,0.000831,1.017352,299
volatility_5d,4,Q4,0.000741,0.904517,299
volatility_5d,5,Q5,-0.001350,-1.536577,299
volatility_10d,1,Q1,0.000953,1.786730,296
volatility_10d,2,Q2,0.001197,1.767406,296
volatility_10d,3,Q3,0.001306,1.806004,296
volatility_10d,4,Q4,0.000850,1.135999,296
volatility_10d,5,Q5,-0.001012,-1.288772,296
volatility_20d,1,Q1,0.000743,1.396353,291
volatility_20d,2,Q2,0.001147,1.685769,291
volatility_20d,3,Q3,0.000864,1.189609,291
volatility_20d,4,Q4,0.000621,0.842678,291
volatility_20d,5,Q5,-0.000759,-0.948427,291
buy_sell_imbalance,1,Q1,0.000796,1.057907,301
buy_sell_imbalance,2,Q2,0.000281,0.332194,301
buy_sell_imbalance,3,Q3,0.000548,0.678571,301
buy_sell_imbalance,4,Q4,0.000387,0.488654,301
buy_sell_imbalance,5,Q5,-0.000439,-0.617324,301
intraday_range,1,Q1,0.000726,1.150519,301
intraday_range,2,Q2,0.000808,1.071048,301
intraday_range,3,Q3,0.001089,1.287604,301
intraday_range,4,Q4,0.000918,1.093350,301
intraday_range,5,Q5,-0.001955,-2.181066,301
volume_price_corr_20d,1,Q1,0.001125,1.710955,291
volume_price_corr_20d,2,Q2,0.001073,1.550706,291
volume_price_corr_20d,3,Q3,0.000874,1.290849,291
volume_price_corr_20d,4,Q4,0.000307,0.441020,291
volume_price_corr_20d,5,Q5,-0.000768,-1.114601,291
