split,factor,IC,IR,ICIR,IC_positive_ratio,IC_t_stat,rank_IC,rank_IR,rank_ICIR,rank_IC_positive_ratio,n_days
train,momentum_5d,-0.040089,-3.981275,-0.250797,0.373786,-3.599610,-0.071738,-8.986478,-0.566095,0.271845,206
train,momentum_10d,-0.049207,-4.988348,-0.314236,0.378109,-4.455070,-0.074135,-9.862962,-0.621308,0.263682,201
train,volume_price_corr_20d,-0.028206,-5.513754,-0.347334,0.363184,-4.924307,-0.064956,-11.380223,-0.716887,0.223881,201
train,volatility_20d,-0.045591,-5.519957,-0.347725,0.393035,-4.929847,-0.073819,-7.097737,-0.447115,0.338308,201
train,momentum_20d,-0.049212,-5.710819,-0.359748,0.356021,-4.971813,-0.086554,-12.384138,-0.780127,0.214660,191
train,volatility_10d,-0.060644,-7.181433,-0.452388,0.339806,-6.492986,-0.086903,-9.016183,-0.567966,0.296117,206
train,volatility_5d,-0.067168,-7.688127,-0.484306,0.315789,-7.001538,-0.082850,-9.140276,-0.575783,0.282297,209
train,buy_sell_imbalance,-0.056756,-8.088653,-0.509537,0.279621,-7.401456,-0.026583,-3.851387,-0.242615,0.383886,211
train,intraday_range,-0.088984,-9.469195,-0.596503,0.260664,-8.664710,-0.093715,-9.258503,-0.583231,0.241706,211
train,example_factor,-0.100690,-13.211017,-0.832216,0.213542,-11.531521,-0.129506,-16.032841,-1.009974,0.156250,192
validation,momentum_5d,-0.032444,-2.750785,-0.173283,0.422222,-1.162419,-0.035280,-3.240952,-0.204161,0.422222,45
validation,momentum_10d,-0.036474,-3.150732,-0.198477,0.422222,-1.331427,-0.017910,-1.680091,-0.105836,0.400000,45
validation,buy_sell_imbalance,-0.027128,-3.530632,-0.222409,0.422222,-1.491964,0.009871,1.595412,0.100502,0.511111,45
validation,volatility_20d,-0.055146,-6.178851,-0.389231,0.355556,-2.611041,-0.073990,-6.945222,-0.437508,0.422222,45
validation,volume_price_corr_20d,-0.042675,-6.442206,-0.405821,0.400000,-2.722329,-0.071765,-9.434005,-0.594286,0.311111,45
validation,momentum_20d,-0.065883,-8.080506,-0.509024,0.266667,-3.414637,-0.059619,-7.050007,-0.444109,0.377778,45
validation,volatility_10d,-0.072509,-8.822141,-0.555743,0.244444,-3.728035,-0.075702,-7.040933,-0.443537,0.422222,45
validation,volatility_5d,-0.077586,-9.310725,-0.586521,0.311111,-3.934499,-0.069233,-7.608745,-0.479306,0.377778,45
validation,example_factor,-0.091839,-10.450424,-0.658315,0.288889,-4.416110,-0.103344,-11.518980,-0.725628,0.244444,45
validation,intraday_range,-0.101221,-10.898484,-0.686540,0.244444,-4.605450,-0.088001,-8.500575,-0.535486,0.266667,45
test,momentum_10d,0.043435,4.526307,0.285131,0.733333,1.912714,0.011560,1.196533,0.075374,0.622222,45
test,momentum_20d,0.047401,4.412279,0.277947,0.666667,1.864528,0.010759,1.000480,0.063024,0.577778,45
test,volatility_10d,0.037882,3.680945,0.231878,0.555556,1.555483,-0.027127,-2.402329,-0.151333,0.422222,45
test,momentum_5d,0.031296,3.330731,0.209816,0.666667,1.407491,-0.002926,-0.335230,-0.021117,0.511111,45
test,example_factor,0.032323,2.873977,0.181044,0.466667,1.214477,-0.018160,-1.542974,-0.097198,0.400000,45
test,volatility_5d,0.025646,2.867192,0.180616,0.577778,1.211610,-0.028869,-2.866892,-0.180597,0.422222,45
test,volatility_20d,0.028658,2.729366,0.171934,0.555556,1.153367,-0.032983,-2.722793,-0.171520,0.400000,45
test,intraday_range,0.019063,2.112256,0.133060,0.555556,0.892591,-0.036793,-3.660511,-0.230591,0.444444,45
test,volume_price_corr_20d,0.011460,1.729893,0.108973,0.555556,0.731013,-0.012170,-1.581094,-0.099600,0.533333,45
test,buy_sell_imbalance,-0.027631,-5.331193,-0.335834,0.377778,-2.252840,-0.017917,-3.147320,-0.198263,0.466667,45
