factor,IC,IR,ICIR,IC_positive_ratio,IC_t_stat,rank_IC,rank_IR,rank_ICIR,rank_IC_positive_ratio,n_days
momentum_5d,-0.028074,-2.715036,-0.171031,0.425676,-2.942532,-0.055734,-6.394347,-0.402806,0.331081,296
momentum_10d,-0.032912,-3.200634,-0.201621,0.439863,-3.439396,-0.052189,-6.029518,-0.379824,0.340206,291
momentum_20d,-0.036410,-3.962052,-0.249586,0.391459,-4.183820,-0.066657,-8.114224,-0.511148,0.298932,281
volatility_20d,-0.035587,-4.006105,-0.252361,0.412371,-4.304954,-0.067530,-6.298587,-0.396774,0.360825,291
volume_price_corr_20d,-0.024310,-4.270723,-0.269030,0.398625,-4.589312,-0.057846,-8.949264,-0.563751,0.285223,291
volatility_10d,-0.047470,-5.284259,-0.332877,0.358108,-5.727033,-0.076113,-7.514428,-0.473364,0.334459,296
volatility_5d,-0.054767,-6.124832,-0.385828,0.354515,-6.671593,-0.072677,-7.837386,-0.493709,0.317726,299
buy_sell_imbalance,-0.047972,-6.939895,-0.437172,0.315615,-7.584656,-0.019838,-2.978122,-0.187604,0.415282,301
intraday_range,-0.074660,-7.757170,-0.488656,0.302326,-8.477860,-0.084351,-8.277090,-0.521408,0.275748,301
example_factor,-0.077120,-8.625980,-0.543386,0.266667,-9.411716,-0.105572,-11.322173,-0.713230,0.223333,300
