factor,group,label,mean_return,t_stat,n_days
example_factor,1,Q1,0.002058,2.841662,282
example_factor,2,Q2,0.001677,2.406291,282
example_factor,3,Q3,0.001216,1.748246,282
example_factor,4,Q4,0.000324,0.472045,282
example_factor,5,Q5,-0.002960,-3.855534,282
momentum_20d,1,Q1,0.000945,1.290840,281
momentum_20d,2,Q2,0.001022,1.434053,281
momentum_20d,3,Q3,0.000999,1.424489,281
momentum_20d,4,Q4,0.000293,0.427825,281
momentum_20d,5,Q5,-0.001056,-1.442392,281
buy_sell_imbalance,1,Q1,0.000796,1.057907,301
buy_sell_imbalance,2,Q2,0.000281,0.332194,301
buy_sell_imbalance,3,Q3,0.000548,0.678571,301
buy_sell_imbalance,4,Q4,0.000387,0.488654,301
buy_sell_imbalance,5,Q5,-0.000439,-0.617324,301
volume_price_corr_20d,1,Q1,0.001125,1.710955,291
volume_price_corr_20d,2,Q2,0.001073,1.550706,291
volume_price_corr_20d,3,Q3,0.000874,1.290849,291
volume_price_corr_20d,4,Q4,0.000307,0.441020,291
volume_price_corr_20d,5,Q5,-0.000768,-1.114601,291
