factor,horizon_days,pearson_ic,rank_ic,rank_ic_t_stat,q1_minus_q5_mean,q1_minus_q5_t_stat,ic_days,layer_days
example_factor,1,-0.0780524277,-0.1075630945,-12.3390650707,0.0050184249,8.4254865102,282,282
momentum_20d,1,-0.0364100574,-0.0666569365,-8.5684462136,0.0020014634,3.8504545109,281,281
buy_sell_imbalance,1,-0.0479724536,-0.0198395246,-3.2553344708,0.0012347746,2.9634750774,301,301
volume_price_corr_20d,1,-0.0243098817,-0.0578461931,-9.6168370238,0.0018933068,4.9782715762,291,291
example_factor,2,-0.0926855782,-0.1221973592,-14.5504614479,0.0084107332,10.2836828436,281,281
momentum_20d,2,-0.0610868167,-0.0747151570,-10.2072325776,0.0040732787,5.6884010868,280,280
buy_sell_imbalance,2,-0.0330550037,-0.0006420943,-0.1058358778,0.0006956327,1.1813439546,300,300
volume_price_corr_20d,2,-0.0345024972,-0.0676532612,-11.7118024970,0.0035790171,6.9352230874,290,290
example_factor,5,-0.1079636855,-0.1427431730,-17.1494582287,0.0145865670,11.4854197300,278,278
momentum_20d,5,-0.1020235976,-0.0915084124,-12.4051426482,0.0093159356,8.0945301396,277,277
buy_sell_imbalance,5,0.0008262579,0.0087031068,1.3685534153,-0.0009492779,-1.1421691981,297,297
volume_price_corr_20d,5,-0.0480501707,-0.0815784448,-14.4708127456,0.0074503881,9.1639043672,287,287
example_factor,10,-0.1061188251,-0.1465077324,-18.1948671684,0.0183182265,10.9367189987,273,273
momentum_20d,10,-0.1185311102,-0.1090482852,-14.8743387217,0.0154010482,9.5096001600,272,272
buy_sell_imbalance,10,0.0183922923,0.0148018791,2.3144971107,-0.0031343331,-2.7749364179,292,292
volume_price_corr_20d,10,-0.0576384926,-0.0922297868,-17.0303953925,0.0125789805,12.0194317364,282,282
