cluster_id,factor,representative,selected,available_ic_days,mean_ic,ic_std,absolute_icir
1,example_factor,example_factor,True,99.0000000000,-0.0593472765,0.1087724122,0.5456096388
2,momentum_5d,momentum_10d,False,113.0000000000,-0.0518223821,0.1534136814,0.3377950494
2,momentum_10d,momentum_10d,True,108.0000000000,-0.0552224698,0.1540755146,0.3584117173
2,momentum_20d,momentum_10d,False,98.0000000000,-0.0481295611,0.1406076412,0.3422969102
3,volatility_5d,volatility_10d,False,116.0000000000,-0.0431614443,0.1268701664,0.3402016846
3,volatility_10d,volatility_10d,True,113.0000000000,-0.0445795309,0.1203918231,0.3702870323
3,volatility_20d,volatility_10d,False,108.0000000000,-0.0328696506,0.1219849914,0.2694565146
4,buy_sell_imbalance,buy_sell_imbalance,True,118.0000000000,0.0091443035,0.1127754016,0.0810842022
5,intraday_range,intraday_range,True,118.0000000000,-0.0479750503,0.1346143476,0.3563888333
6,volume_price_corr_20d,volume_price_corr_20d,True,108.0000000000,-0.0179781356,0.0798433608,0.2251675703
