factor,mean_ic,ci_lower,ci_upper,two_sided_p_value,significant_at_5pct,n_days,block_length
example_factor,-0.0341181379,-0.0436492210,-0.0247845144,0.0004997501,True,300,5
momentum_5d,-0.0275538538,-0.0446057863,-0.0093265249,0.0039980010,True,296,5
momentum_10d,-0.0316827406,-0.0495706181,-0.0135196586,0.0019990005,True,291,5
momentum_20d,-0.0340125023,-0.0518010743,-0.0156725630,0.0014992504,True,281,5
volatility_5d,-0.0543688829,-0.0721727443,-0.0348547267,0.0004997501,True,299,5
volatility_10d,-0.0473181948,-0.0647584418,-0.0295639082,0.0004997501,True,296,5
volatility_20d,-0.0353890881,-0.0509661231,-0.0191957076,0.0004997501,True,291,5
buy_sell_imbalance,-0.0478555044,-0.0618968594,-0.0343629178,0.0004997501,True,301,5
intraday_range,-0.0735711153,-0.0922051994,-0.0543815211,0.0004997501,True,301,5
volume_price_corr_20d,-0.0242236514,-0.0343429799,-0.0134978223,0.0004997501,True,291,5
