,example_factor,momentum_5d,momentum_10d,momentum_20d,volatility_5d,volatility_10d,volatility_20d,buy_sell_imbalance,intraday_range,volume_price_corr_20d
example_factor,1.0000000000,0.0542295287,0.1143706336,0.2140452027,0.4119182289,0.4969780110,0.5475386655,-0.0477654050,0.3253220598,0.3518708644
momentum_5d,0.0542295287,1.0000000000,0.6168887083,0.4127064314,0.1749796981,0.0585836090,0.0059930678,0.2263043816,0.2135989070,0.1391317039
momentum_10d,0.1143706336,0.6168887083,1.0000000000,0.6144374892,0.2358601897,0.2038415012,0.0761922625,0.1498680054,0.2639236764,0.2551072911
momentum_20d,0.2140452027,0.4127064314,0.6144374892,1.0000000000,0.2887787121,0.3117703619,0.2467868410,0.0946097066,0.3191567204,0.4412970609
volatility_5d,0.4119182289,0.1749796981,0.2358601897,0.2887787121,1.0000000000,0.7887548481,0.6464157701,-0.0359833066,0.6025501413,0.2679197506
volatility_10d,0.4969780110,0.0585836090,0.2038415012,0.3117703619,0.7887548481,1.0000000000,0.8232444410,-0.0555707488,0.5840946161,0.3257747946
volatility_20d,0.5475386655,0.0059930678,0.0761922625,0.2467868410,0.6464157701,0.8232444410,1.0000000000,-0.0549514344,0.5398999014,0.3287162710
buy_sell_imbalance,-0.0477654050,0.2263043816,0.1498680054,0.0946097066,-0.0359833066,-0.0555707488,-0.0549514344,1.0000000000,0.1123407781,-0.0238526715
intraday_range,0.3253220598,0.2135989070,0.2639236764,0.3191567204,0.6025501413,0.5840946161,0.5398999014,0.1123407781,1.0000000000,0.2240232559
volume_price_corr_20d,0.3518708644,0.1391317039,0.2551072911,0.4412970609,0.2679197506,0.3257747946,0.3287162710,-0.0238526715,0.2240232559,1.0000000000
