factor,period,mean_ic,std_ic,icir,positive_ratio,n_days
example_factor,2025Q2,-0.1176469765,0.1071506897,-1.0979581830,0.1463414634,41
example_factor,2025Q3,-0.0881903363,0.1214167301,-0.7263441889,0.2424242424,66
example_factor,2025Q4,-0.1108959777,0.1157976144,-0.9576706592,0.1833333333,60
example_factor,2026Q1,-0.1085304580,0.1402481988,-0.7738456457,0.2500000000,56
example_factor,2026Q2,0.0231316597,0.1675223647,0.1380810243,0.4745762712,59
momentum_5d,2025Q2,-0.0450571953,0.1695948902,-0.2656754295,0.3636363636,55
momentum_5d,2025Q3,-0.0317569317,0.1534116858,-0.2070046459,0.3939393939,66
momentum_5d,2025Q4,-0.0397919106,0.1605381608,-0.2478657435,0.3833333333,60
momentum_5d,2026Q1,-0.0562836586,0.1642486471,-0.3426734989,0.3571428571,56
momentum_5d,2026Q2,0.0305682014,0.1655079232,0.1846932814,0.6271186441,59
momentum_10d,2025Q2,-0.0386839460,0.1727482625,-0.2239324751,0.4200000000,50
momentum_10d,2025Q3,-0.0434978481,0.1562274144,-0.2784264740,0.3939393939,66
momentum_10d,2025Q4,-0.0626023019,0.1424317621,-0.4395248713,0.3333333333,60
momentum_10d,2026Q1,-0.0614954637,0.1732081240,-0.3550379872,0.3750000000,56
momentum_10d,2026Q2,0.0411451010,0.1553877234,0.2647899084,0.6779661017,59
momentum_20d,2025Q2,-0.0406001292,0.1429162989,-0.2840832678,0.3750000000,40
momentum_20d,2025Q3,-0.0442412546,0.1369211585,-0.3231148132,0.3636363636,66
momentum_20d,2025Q4,-0.0661107008,0.1263386987,-0.5232814768,0.3166666667,60
momentum_20d,2026Q1,-0.0646481339,0.1375884429,-0.4698660189,0.2857142857,56
momentum_20d,2026Q2,0.0321972780,0.1650872488,0.1950318892,0.6101694915,59
volatility_5d,2025Q2,-0.0546828272,0.1330047307,-0.4111344532,0.3965517241,58
volatility_5d,2025Q3,-0.0601040976,0.1343386762,-0.4474072493,0.3484848485,66
volatility_5d,2025Q4,-0.0948049766,0.1253597767,-0.7562631265,0.1833333333,60
volatility_5d,2026Q1,-0.0808222876,0.1540988934,-0.5244832445,0.3035714286,56
volatility_5d,2026Q2,0.0165679557,0.1410178170,0.1174883862,0.5423728814,59
volatility_10d,2025Q2,-0.0508855113,0.1222856730,-0.4161199757,0.4000000000,55
volatility_10d,2025Q3,-0.0521079898,0.1275017075,-0.4086846426,0.3484848485,66
volatility_10d,2025Q4,-0.0875706077,0.1307223069,-0.6698979677,0.2333333333,60
volatility_10d,2026Q1,-0.0761568054,0.1438802987,-0.5293066952,0.2500000000,56
volatility_10d,2026Q2,0.0289125498,0.1607771700,0.1798299462,0.5593220339,59
volatility_20d,2025Q2,-0.0347790033,0.1256832668,-0.2767194409,0.4600000000,50
volatility_20d,2025Q3,-0.0412611594,0.1216911031,-0.3390647171,0.3939393939,66
volatility_20d,2025Q4,-0.0708376545,0.1248387558,-0.5674331982,0.2666666667,60
volatility_20d,2026Q1,-0.0578542947,0.1478783523,-0.3912289649,0.3750000000,56
volatility_20d,2026Q2,0.0270603831,0.1646238734,0.1643770284,0.5762711864,59
buy_sell_imbalance,2025Q2,-0.0721644463,0.1227640532,-0.5878304307,0.2166666667,60
buy_sell_imbalance,2025Q3,-0.0579342508,0.1004181774,-0.5769299174,0.2727272727,66
buy_sell_imbalance,2025Q4,-0.0361339138,0.1000562595,-0.3611359643,0.3166666667,60
buy_sell_imbalance,2026Q1,-0.0399229736,0.1340718485,-0.2977729778,0.4285714286,56
buy_sell_imbalance,2026Q2,-0.0319060992,0.0850517889,-0.3751373085,0.3559322034,59
intraday_range,2025Q2,-0.0686115141,0.1764851927,-0.3887664059,0.3000000000,60
intraday_range,2025Q3,-0.1066248759,0.1251118813,-0.8522362135,0.1969696970,66
intraday_range,2025Q4,-0.0918895241,0.1307188028,-0.7029556739,0.2833333333,60
intraday_range,2026Q1,-0.1096253850,0.1570004330,-0.6982489342,0.1964285714,56
intraday_range,2026Q2,0.0056552038,0.1466672140,0.0385580639,0.5423728814,59
volume_price_corr_20d,2025Q2,-0.0318025929,0.0822694012,-0.3865664803,0.3800000000,50
volume_price_corr_20d,2025Q3,-0.0134758356,0.0851010455,-0.1583509990,0.4242424242,66
volume_price_corr_20d,2025Q4,-0.0397664281,0.0749823439,-0.5303438920,0.3000000000,60
volume_price_corr_20d,2026Q1,-0.0482792076,0.0938133812,-0.5146302907,0.3214285714,56
volume_price_corr_20d,2026Q2,0.0083895003,0.1041868623,0.0805235912,0.5593220339,59
