factor,first_execution_date,strategy_total_return,market_total_return,geometric_excess_return,information_ratio,beta,annualized_arithmetic_alpha
volume_price_corr_20d,2025-05-21,0.1695455264,0.0496538170,0.1142202386,0.8123385488,0.6969349485,0.1171789311
example_factor,2025-06-04,0.1389439875,0.0566696296,0.0778619500,0.6790939665,0.9485431500,0.0807945404
momentum_20d,2025-06-05,0.0451799809,0.0447696158,0.0003927805,0.0564778144,0.9608634001,0.0094874939
volatility_20d,2025-05-22,-0.0251980164,0.0559702033,-0.0768660133,-0.6555006102,0.4616591842,-0.0479034194
volatility_10d,2025-05-14,-0.0260663440,0.0698436059,-0.0896485705,-0.7582290173,0.5015528002,-0.0554207422
intraday_range,2025-05-07,-0.0212059544,0.0869090380,-0.0994701384,-0.5970861843,0.5202485704,-0.0528402791
momentum_10d,2025-05-21,-0.0940481911,0.0496538170,-0.1369041923,-0.8972749181,1.0115015328,-0.1277642482
volatility_5d,2025-05-12,-0.1342503672,0.0774648867,-0.1964938779,-1.7039842952,0.6216405564,-0.1721252510
buy_sell_imbalance,2025-05-07,-0.1529885217,0.0869090380,-0.2207153969,-1.4349807663,0.3391289918,-0.1720839308
momentum_5d,2025-05-14,-0.2966608917,0.0698436059,-0.3425776400,-2.4560879051,1.0129582844,-0.3731958737
