model,tier,position_type,validation_confidence_threshold,bars,active_bars,bar_coverage,gross_total_return,net_total_return,mean_net_return_bp,net_bar_sharpe_sqrt_n,net_max_drawdown,t1_settled_days,t1_net_total_return,t1_full_market_total_return,t1_excess_vs_full_market,t1_exposure_matched_market_return,t1_excess_vs_exposure_matched_market
lstm_ensemble,all,long,0.0000000000,1180,898,0.7610169492,-0.0111597152,-0.3689314128,-3.8938753502,-11.6782806523,-0.3696604546,9.0000000000,-0.0957665423,-0.1226679732,0.0306627708,-0.0967153693,0.0010504186
lstm_ensemble,all,long_short,0.0000000000,1180,1161,0.9838983051,-0.0410400379,-0.4634375877,-5.2695514209,-17.9323486178,-0.4631333377,,,,,,
lstm_ensemble,balanced,long,0.5174590700,1180,380,0.3220338983,0.0460133206,-0.1350115525,-1.2252626638,-4.8210379766,-0.1345788419,9.0000000000,-0.0426569565,-0.1226679732,0.0911981032,-0.0460544459,0.0035615130
lstm_ensemble,balanced,long_short,0.5174590700,1180,747,0.6330508475,-0.0141570508,-0.3214921309,-3.2785524489,-8.9913632364,-0.3216882634,,,,,,
lstm_ensemble,strict,long,0.5790502200,1180,118,0.1000000000,0.0074759403,-0.0502561610,-0.4355436113,-2.8055880660,-0.0532210459,9.0000000000,-0.0168196167,-0.1226679732,0.1206480024,-0.0155875864,-0.0012515388
lstm_ensemble,strict,long_short,0.5790502200,1180,263,0.2228813559,0.0432947415,-0.0852717207,-0.7507693029,-2.7106824778,-0.0881562610,,,,,,
hist_gradient_boosting,all,long,0.0000000000,1180,1052,0.8915254237,0.0513833483,-0.3787365476,-4.0272061718,-12.7548796624,-0.3789753587,9.0000000000,-0.1157995007,-0.1226679732,0.0078288176,-0.1104310556,-0.0060348837
hist_gradient_boosting,all,long_short,0.0000000000,1180,1180,1.0000000000,-0.0102525688,-0.4514398688,-5.0842203700,-22.1211775610,-0.4512572211,,,,,,
hist_gradient_boosting,balanced,long,0.5360644263,1180,455,0.3855932203,0.0591875460,-0.1563572898,-1.4368842714,-5.5778171685,-0.1653214769,9.0000000000,-0.0422570019,-0.1226679732,0.0916539792,-0.0495632000,0.0076872004
hist_gradient_boosting,balanced,long_short,0.5360644263,1180,921,0.7805084746,0.0156799224,-0.3592074770,-3.7633515089,-10.5239674482,-0.3609178762,,,,,,
hist_gradient_boosting,strict,long,0.6033163529,1180,152,0.1288135593,0.0351071944,-0.0406476240,-0.3503632610,-2.3605548906,-0.0507607715,9.0000000000,-0.0147218482,-0.1226679732,0.1230390794,-0.0193959790,0.0047665833
hist_gradient_boosting,strict,long_short,0.6033163529,1180,369,0.3127118644,0.0301702341,-0.1434199042,-1.3075367001,-4.8438910166,-0.1454895114,,,,,,
linear_logistic_sgd,all,long,0.0000000000,1180,851,0.7211864407,-0.0010215563,-0.3472945875,-3.6081472394,-10.7027602254,-0.3499898992,9.0000000000,-0.0997585573,-0.1226679732,0.0261125950,-0.0925202958,-0.0079762241
linear_logistic_sgd,all,long_short,0.0000000000,1180,1148,0.9728813559,-0.0361923513,-0.4572062516,-5.1710421692,-16.4875902674,-0.4579783403,,,,,,
linear_logistic_sgd,balanced,long,0.5745610714,1180,402,0.3406779661,0.0160825248,-0.1689688956,-1.5624147108,-4.8955521800,-0.1757992717,9.0000000000,-0.0465475152,-0.1226679732,0.0867635692,-0.0438260943,-0.0028461568
linear_logistic_sgd,balanced,long_short,0.5745610714,1180,721,0.6110169492,0.0034398143,-0.3003360757,-3.0151289114,-6.9385490724,-0.3015250897,,,,,,
linear_logistic_sgd,strict,long,0.6997958541,1180,186,0.1576271186,0.0355246023,-0.0564424098,-0.4881876886,-1.8379353226,-0.0651617632,9.0000000000,-0.0218636109,-0.1226679732,0.1148987603,-0.0203393678,-0.0015558889
linear_logistic_sgd,strict,long_short,0.6997958541,1180,401,0.3398305085,0.0213631708,-0.1642301205,-1.5102464604,-3.6703945709,-0.1633683274,,,,,,
