execution,strategy,position_type,sell_fee_bps,bars,active_bars,bar_coverage,gross_total_return,net_total_return,mean_net_return_bp,net_bar_sharpe_sqrt_n,net_max_drawdown,five_stock_market_total_return,excess_vs_five_stock_market
same_close_label,all_up,long,0.0000000000,1180,898,0.7610169492,0.6219439294,0.6219439294,4.1076795155,10.9260212837,-0.0093076868,0.0512322134,0.5428978572
same_close_label,all_up,long,5.0000000000,1180,898,0.7610169492,0.6219439294,0.0353654877,0.3025947698,0.8179089276,-0.0343203992,0.0512322134,-0.0150934546
same_close_label,balanced_up,long,0.0000000000,1180,380,0.3220338983,0.3821967447,0.3821967447,2.7491651475,8.7612286550,-0.0062238656,0.0512322134,0.3148348453
same_close_label,balanced_up,long,5.0000000000,1180,380,0.3220338983,0.3821967447,0.1431505794,1.1389956560,3.8552798198,-0.0111079293,0.0512322134,0.0874386884
same_close_label,strict_up,long,0.0000000000,1180,118,0.1000000000,0.1295311264,0.1295311264,1.0346492654,5.1528377525,-0.0045441099,0.0512322134,0.0744829849
same_close_label,strict_up,long,5.0000000000,1180,118,0.1000000000,0.1295311264,0.0648656579,0.5346492654,2.8856659215,-0.0097276602,0.0512322134,0.0129690132
same_close_label,all_direction,long_short,0.0000000000,1180,1161,0.9838983051,0.7782964102,0.7782964102,4.8851337895,15.9842458863,-0.0141045805,0.0512322134,0.6916304386
same_close_label,all_direction,long_short,5.0000000000,1180,1161,0.9838983051,0.7782964102,-0.0046907275,-0.0343577360,-0.1126189973,-0.0577300515,0.0512322134,-0.0531975145
same_close_label,strict_direction,long_short,0.0000000000,1180,263,0.2228813559,0.3324969332,0.3324969332,2.4387410726,7.7834858016,-0.0128204860,0.0512322134,0.2675571736
same_close_label,strict_direction,long_short,5.0000000000,1180,263,0.2228813559,0.3324969332,0.1684346306,1.3243342929,4.5220163650,-0.0138138258,0.0512322134,0.1114905115
next_minute_open_to_close,all_up,long,0.0000000000,1180,898,0.7610169492,-0.0111597152,-0.0111597152,-0.0887906044,-0.2712654816,-0.0426205556,0.0512322134,-0.0593512335
next_minute_open_to_close,all_up,long,5.0000000000,1180,898,0.7610169492,-0.0111597152,-0.3689314128,-3.8938753502,-11.6782806523,-0.3696604546,0.0512322134,-0.3996867874
next_minute_open_to_close,balanced_up,long,0.0000000000,1180,380,0.3220338983,0.0460133206,0.0460133206,0.3849068277,1.5436383660,-0.0172383169,0.0512322134,-0.0049645480
next_minute_open_to_close,balanced_up,long,5.0000000000,1180,380,0.3220338983,0.0460133206,-0.1350115525,-1.2252626638,-4.8210379766,-0.1345788419,0.0512322134,-0.1771671030
next_minute_open_to_close,strict_up,long,0.0000000000,1180,118,0.1000000000,0.0074759403,0.0074759403,0.0644563887,0.4279671724,-0.0136516883,0.0512322134,-0.0416237940
next_minute_open_to_close,strict_up,long,5.0000000000,1180,118,0.1000000000,0.0074759403,-0.0502561610,-0.4355436113,-2.8055880660,-0.0532210459,0.0512322134,-0.0965422987
next_minute_open_to_close,all_direction,long_short,0.0000000000,1180,1161,0.9838983051,-0.0410400379,-0.0410400379,-0.3500598955,-1.1939139027,-0.0548428350,0.0512322134,-0.0877753270
next_minute_open_to_close,all_direction,long_short,5.0000000000,1180,1161,0.9838983051,-0.0410400379,-0.4634375877,-5.2695514209,-17.9323486178,-0.4631333377,0.0512322134,-0.4895871668
next_minute_open_to_close,strict_direction,long_short,0.0000000000,1180,263,0.2228813559,0.0432947415,0.0432947415,0.3636374767,1.3239840700,-0.0158541626,0.0512322134,-0.0075506361
next_minute_open_to_close,strict_direction,long_short,5.0000000000,1180,263,0.2228813559,0.0432947415,-0.0852717207,-0.7507693029,-2.7106824778,-0.0881562610,0.0512322134,-0.1298513614
