cluster_id,feature,representative,selected,maximum_absolute_target_rank_ic,best_view,signed_rank_ic_at_best_view,sample_rows
1,log_open_to_close,log_open_to_close,True,0.0513155040,std,-0.0513155040,40000
2,log_high_to_close,log_high_to_close,True,0.0576419954,mean,-0.0576419954,40000
3,log_low_to_close,log_low_to_close,True,0.0502113056,std,-0.0502113056,40000
4,close_log_return,close_log_return,True,0.0535791386,std,-0.0535791386,40000
5,log1p_volume,log1p_amount,False,0.0737619443,std,0.0737619443,40000
5,log1p_trade_count,log1p_amount,False,0.0635627578,mean,-0.0635627578,40000
5,log1p_amount,log1p_amount,True,0.0915167861,mean,-0.0915167861,40000
6,log1p_buy_volume,log1p_buy_amount,False,0.0523503980,mean,-0.0523503980,40000
6,log1p_buy_amount,log1p_buy_amount,True,0.0815711050,mean,-0.0815711050,40000
7,log1p_sell_volume,log1p_sell_amount,False,0.0872545325,std,0.0872545325,40000
7,log1p_sell_amount,log1p_sell_amount,True,0.0909815164,mean,-0.0909815164,40000
8,log_high_to_low,log_high_to_low,True,0.0542457318,mean,-0.0542457318,40000
9,close_location,close_location,True,0.0296163417,mean,0.0296163417,40000
10,buy_volume_imbalance,buy_volume_imbalance,True,0.0590581006,std,0.0590581006,40000
10,buy_amount_imbalance,buy_volume_imbalance,False,0.0590448440,std,0.0590448440,40000
11,log1p_average_trade_size,log1p_average_trade_size,True,0.0837780173,std,0.0837780173,40000
12,volume_log_change,volume_log_change,True,0.0801927085,std,0.0801927085,40000
12,amount_log_change,volume_log_change,False,0.0780095895,std,0.0780095895,40000
13,close_log_return_3m,close_log_return_3m,True,0.0589556397,std,-0.0589556397,40000
14,close_log_return_5m,close_log_return_5m,True,0.0576956875,std,-0.0576956875,40000
15,close_log_return_10m,close_log_return_10m,True,0.0558198668,std,-0.0558198668,40000
16,return_volatility_5m,return_volatility_5m,True,0.0533108158,mean,-0.0533108158,40000
17,has_trade,has_trade,True,0.0389941225,std,0.0389941225,40000
18,session_progress,session_progress,True,0.0009421605,change,-0.0009421605,40000
19,is_afternoon,is_afternoon,True,0.0009022773,last,0.0009022773,40000
