execution,lookback,top_n,positive_excess_folds,median_fold_geometric_excess,worst_fold_geometric_excess,median_fold_sharpe
close,40,5,2,0.0210315382,-0.1123650442,0.7129814537
close,40,10,3,0.0601149835,-0.0742804588,2.0298708236
close,40,20,4,0.0872736388,0.0094756338,2.7093760255
close,60,5,2,-0.0192070836,-0.1423093231,0.7788956321
close,60,10,3,0.0397438820,-0.0595251257,2.0255329578
close,60,20,3,0.0513531973,-0.0020061297,2.5747222177
close,90,5,1,-0.0316212179,-0.1335034601,1.1658739585
close,90,10,3,0.0388877062,-0.0880311509,1.9702840159
close,90,20,3,0.0493260021,-0.0263739661,1.7902154849
open,40,5,3,0.0381194703,-0.0128716237,2.6130993723
open,40,10,3,0.0944413045,-0.0147686705,3.3465812822
open,40,20,4,0.0968573052,0.0410530687,3.7377418247
open,60,5,3,0.0721287203,-0.0552977340,3.1336710274
open,60,10,2,0.0812278352,-0.0100807784,3.5510550897
open,60,20,3,0.0947511257,-0.0038326003,3.6780767108
open,90,5,3,0.0578072954,-0.1118465602,2.7000220520
open,90,10,3,0.0933515154,-0.0921047532,3.5851361101
open,90,20,3,0.1016121741,-0.0741223844,3.4310558165
