execution,lookback,top_n,fold,start,end,observations,strategy_total_return,benchmark_total_return,geometric_excess_return,information_ratio,sharpe_ratio,max_drawdown
close,40,5,1,2025-05-07,2025-08-13,70,0.0368253848,0.1680763337,-0.1123650442,-2.4033238925,0.7626821215,-0.1260192433
close,40,5,2,2025-08-14,2025-11-27,70,0.1270039995,0.0268560289,0.0975287361,2.5946242449,2.0583147949,-0.0673151457
close,40,5,3,2025-11-28,2026-03-17,70,0.0361962760,0.0616021855,-0.0239316665,-0.4540610185,0.6632807859,-0.0721676197
close,40,5,4,2026-03-18,2026-06-30,70,-0.0900748331,-0.1464074539,0.0659947430,1.1019776954,-0.9319667997,-0.1689124145
close,40,10,1,2025-05-07,2025-08-13,70,0.0813110877,0.1680763337,-0.0742804588,-2.4540501363,2.0056510202,-0.0757954789
close,40,10,2,2025-08-14,2025-11-27,70,0.1102514163,0.0268560289,0.0812142940,2.7817248371,2.0540906271,-0.0550197546
close,40,10,3,2025-11-28,2026-03-17,70,0.1176239312,0.0616021855,0.0527709404,1.6281886090,2.2825946333,-0.0611639747
close,40,10,4,2026-03-18,2026-06-30,70,-0.0888249316,-0.1464074539,0.0674590265,1.4628269463,-1.0680872591,-0.1302637901
close,40,20,1,2025-05-07,2025-08-13,70,0.1791445973,0.1680763337,0.0094756338,0.4031712364,4.8038120054,-0.0420451729
close,40,20,2,2025-08-14,2025-11-27,70,0.1142715931,0.0268560289,0.0851293285,3.3869440469,2.1652766826,-0.0667243045
close,40,20,3,2025-11-28,2026-03-17,70,0.1565284757,0.0616021855,0.0894179490,3.2287497831,3.2534753684,-0.0502590143
close,40,20,4,2026-03-18,2026-06-30,70,-0.0680713282,-0.1464074539,0.0917722701,2.3774321395,-0.8622385937,-0.1196407941
close,60,5,1,2025-05-07,2025-08-13,70,0.0018481812,0.1680763337,-0.1423093231,-3.4055631510,0.1242059509,-0.1260192433
close,60,5,2,2025-08-14,2025-11-27,70,0.1076866372,0.0268560289,0.0787165933,2.0689792971,1.8247425378,-0.0696473293
close,60,5,3,2025-11-28,2026-03-17,70,0.0893435906,0.0616021855,0.0261316390,0.6592095078,1.4335853132,-0.0661954575
close,60,5,4,2026-03-18,2026-06-30,70,-0.2015032728,-0.1464074539,-0.0645458061,-1.0750273613,-2.3580068830,-0.2202953396
close,60,10,1,2025-05-07,2025-08-13,70,0.0985464431,0.1680763337,-0.0595251257,-1.9563479565,2.3870359983,-0.0757954789
close,60,10,2,2025-08-14,2025-11-27,70,0.0917680848,0.0268560289,0.0632143690,1.8504516732,1.6640299172,-0.0626501715
close,60,10,3,2025-11-28,2026-03-17,70,0.1519055530,0.0616021855,0.0850632833,2.5368061954,2.8790400196,-0.0538319246
close,60,10,4,2026-03-18,2026-06-30,70,-0.1325166053,-0.1464074539,0.0162733949,0.4909913925,-1.6472822101,-0.1605884971
close,60,20,1,2025-05-07,2025-08-13,70,0.1657330210,0.1680763337,-0.0020061297,-0.0859060145,4.4364486141,-0.0420451729
close,60,20,2,2025-08-14,2025-11-27,70,0.1094698409,0.0268560289,0.0804531597,3.1957964205,2.0305172635,-0.0675129710
close,60,20,3,2025-11-28,2026-03-17,70,0.1483985245,0.0616021855,0.0817597591,3.0323727730,3.1189271720,-0.0482943205
close,60,20,4,2026-03-18,2026-06-30,70,-0.1274122584,-0.1464074539,0.0222532349,0.7425843235,-1.6863285660,-0.1621184313
close,90,5,1,2025-05-21,2025-08-25,68,0.0875718582,0.1566601897,-0.0597308804,-1.9941269304,2.2953616471,-0.0376923409
close,90,5,2,2025-08-26,2025-12-05,68,0.1136543602,0.0043679922,0.1088110820,2.9376128625,1.9925301917,-0.0577002502
close,90,5,3,2025-12-08,2026-03-20,67,0.0144340455,0.0180088399,-0.0035115554,0.0175500108,0.3392177253,-0.0666757617
close,90,5,4,2026-03-23,2026-06-30,67,-0.2309355777,-0.1124437468,-0.1335034601,-2.4491564525,-2.6889552320,-0.2932010920
close,90,10,1,2025-05-21,2025-08-25,68,0.1812948168,0.1566601897,0.0212980678,0.8038255819,4.5121763396,-0.0291685531
close,90,10,2,2025-08-26,2025-12-05,68,0.1335541357,0.0043679922,0.1286243134,3.9833168109,2.4622466032,-0.0603159356
close,90,10,3,2025-12-08,2026-03-20,67,0.0755032759,0.0180088399,0.0564773446,1.7843928887,1.4783214286,-0.0602852816
close,90,10,4,2026-03-23,2026-06-30,67,-0.1905763453,-0.1124437468,-0.0880311509,-2.4209339753,-2.5212036756,-0.2333709676
close,90,20,1,2025-05-21,2025-08-25,68,0.1885667223,0.1566601897,0.0275850530,1.2439887094,5.3454100417,-0.0267634349
close,90,20,2,2025-08-26,2025-12-05,68,0.0828978094,0.0043679922,0.0781882913,3.5496670919,1.6736924850,-0.0659466221
close,90,20,3,2025-12-08,2026-03-20,67,0.0903556244,0.0180088399,0.0710669512,2.7107971401,1.9067384849,-0.0572888888
close,90,20,4,2026-03-23,2026-06-30,67,-0.1358521253,-0.1124437468,-0.0263739661,-0.8684117448,-1.8168314623,-0.2032735870
open,40,5,1,2025-05-12,2025-08-18,70,0.1666562601,0.1485236132,0.0157877877,0.3861863157,3.2779660030,-0.0440158071
open,40,5,2,2025-08-19,2025-12-01,69,0.2698788167,0.0458088383,0.2142551968,5.1435752702,4.3839192475,-0.0485438371
open,40,5,3,2025-12-02,2026-03-18,69,0.1163769493,0.0527377392,0.0604511529,1.5340614030,1.9482327416,-0.0682323199
open,40,5,4,2026-03-19,2026-06-30,69,-0.1627958850,-0.1518791931,-0.0128716237,-0.1649081887,-2.2549712447,-0.1916341403
open,40,10,1,2025-05-12,2025-08-18,70,0.1315614463,0.1485236132,-0.0147686705,-0.5106433229,3.2255368290,-0.0408997568
open,40,10,2,2025-08-19,2025-12-01,69,0.2204296590,0.0458088383,0.1669720262,5.4656467879,3.8818980001,-0.0604658225
open,40,10,3,2025-12-02,2026-03-18,69,0.2113178394,0.0527377392,0.1506359032,3.8090682852,3.4676257354,-0.0476513406
