factor_set,strategy,period,start,end,observations,block_length,iterations,strategy_total_return,benchmark_total_return,cumulative_return_spread,cumulative_return_spread_ci_low,cumulative_return_spread_ci_high,geometric_excess_return,geometric_excess_ci_low,geometric_excess_ci_high,probability_geometric_excess_positive,annualized_mean_daily_excess,annualized_mean_daily_excess_ci_low,annualized_mean_daily_excess_ci_high,one_sided_pvalue_mean_daily_excess_gt_zero,daily_excess_win_rate
required_4,adaptive_close,full_period,2025-04-02,2026-06-30,301,5,5000,0.1984692296,0.0700860835,0.1283831461,-0.2687799812,0.5516210371,0.1199745965,-0.2033847176,0.5975484301,0.7438000000,0.0937499223,-0.1884392336,0.3868782066,0.2625474905,0.4485049834
required_4,adaptive_close,from_first_execution,2025-05-07,2026-06-30,280,5,5000,0.1984692296,0.0869090386,0.1115601910,-0.1746329095,0.4554003736,0.1026398595,-0.1516872117,0.4110902427,0.7656000000,0.0944405752,-0.1405266658,0.3168920131,0.2041591682,0.4571428571
required_4,adaptive_close,last_45_days,2026-04-23,2026-06-30,45,5,5000,-0.1305493819,-0.1265918882,-0.0039574937,-0.1159802359,0.1374017132,-0.0045310933,-0.1260701718,0.1696309655,0.4396000000,-0.0140328507,-0.7404483682,0.8882303859,0.4751049790,0.3333333333
required_4,adaptive_open,full_period,2025-04-02,2026-06-30,301,5,5000,0.5276311955,0.0862098896,0.4414213059,-0.0404838073,1.0565515826,0.4063867491,-0.0317202041,1.0750641237,0.9622000000,0.2871212012,-0.0252291223,0.6104431084,0.0405918816,0.5548172757
required_4,adaptive_open,from_first_execution,2025-05-12,2026-06-30,277,5,5000,0.5276311955,0.0724329422,0.4551982533,0.0699323390,1.0000046193,0.4244538147,0.0604433587,0.9126211393,0.9898000000,0.3296357698,0.0616370948,0.5978252507,0.0083983203,0.5667870036
required_4,adaptive_open,last_45_days,2026-04-23,2026-06-30,45,5,5000,-0.1568046467,-0.1278658451,-0.0289388016,-0.1425232463,0.1139154645,-0.0331815942,-0.1534466711,0.1410810407,0.3122000000,-0.1746420642,-0.9137316721,0.7495047475,0.6428714257,0.3777777778
extended_10,adaptive_close,full_period,2025-04-02,2026-06-30,301,5,5000,0.0924560111,0.0700860835,0.0223699276,-0.3623070808,0.3670081090,0.0209047925,-0.2544778945,0.4545769292,0.5306000000,0.0076926675,-0.2498831308,0.2942452521,0.4591081784,0.4318936877
extended_10,adaptive_close,from_first_execution,2025-05-07,2026-06-30,280,5,5000,0.0924560111,0.0869090386,0.0055469725,-0.2530281770,0.2545212095,0.0051034377,-0.1953651457,0.2613432820,0.5208000000,0.0019290262,-0.1973682706,0.2052555442,0.4977004599,0.4392857143
extended_10,adaptive_close,last_45_days,2026-04-23,2026-06-30,45,5,5000,-0.1411562479,-0.1265918882,-0.0145643596,-0.1337019493,0.1179478848,-0.0166753199,-0.1439046132,0.1455125029,0.3898000000,-0.0908675387,-0.8596401604,0.7559632037,0.5510897820,0.3333333333
extended_10,adaptive_open,full_period,2025-04-02,2026-06-30,301,5,5000,0.0833618981,0.0862098896,-0.0028479916,-0.4003578061,0.3687344645,-0.0026219533,-0.2826664897,0.4334432293,0.4874000000,-0.0095283263,-0.2827386463,0.2901909701,0.5224955009,0.4385382060
extended_10,adaptive_open,from_first_execution,2025-05-07,2026-06-30,280,5,5000,0.0833618981,0.1085980734,-0.0252361754,-0.2936003359,0.2476886505,-0.0227640440,-0.2284734149,0.2430598069,0.4318000000,-0.0230073851,-0.2353884618,0.1923135933,0.5922815437,0.4392857143
extended_10,adaptive_open,last_45_days,2026-04-23,2026-06-30,45,5,5000,-0.1633383934,-0.1278658451,-0.0354725483,-0.1618649685,0.1014968883,-0.0406732704,-0.1671834792,0.1273181436,0.2848000000,-0.2328822322,-1.0232599579,0.6645055040,0.6898620276,0.3777777778
