factor_set,strategy,date,strategy_total_return,benchmark_total_return,cumulative_return_spread,geometric_excess_return,annualized_mean_daily_excess,annualized_tracking_error,information_ratio,beta,correlation
required_4,adaptive_close,2025-07-01,-0.0054494376,0.0616777432,-0.0671271808,-0.0632274541,-0.3103506508,0.2811490039,-1.1038653759,0.0919682104,0.2315723840
required_4,adaptive_close,2025-07-02,0.0000146033,0.0595519180,-0.0595373147,-0.0561910311,-0.2788558441,0.2815691960,-0.9903634633,0.0913913756,0.2289838930
required_4,adaptive_close,2025-07-03,-0.0038051825,0.0692809990,-0.0730861815,-0.0683507717,-0.3332785991,0.2816579685,-1.1832741705,0.0908948976,0.2270364129
required_4,adaptive_close,2025-07-04,-0.0061121804,0.1971860241,-0.2032982045,-0.1698133794,-0.7877342033,0.1455621698,-5.4116684589,0.3237426845,0.4320315184
required_4,adaptive_close,2025-07-07,-0.0017623509,0.2108961310,-0.2126584819,-0.1756207460,-0.8174316935,0.1455527835,-5.6160498867,0.3271903839,0.4372414606
required_4,adaptive_close,2025-07-08,0.0014334072,0.1993574216,-0.1979240144,-0.1650250466,-0.7631860816,0.1417756436,-5.3830549600,0.3450334655,0.4509133306
required_4,adaptive_close,2025-07-09,0.0002628817,0.1697054557,-0.1694425740,-0.1448591807,-0.6615070883,0.1330786002,-4.9707998681,0.3864234005,0.4774824813
required_4,adaptive_close,2025-07-10,0.0046530255,0.1668318068,-0.1621787813,-0.1389907100,-0.6326881432,0.1329711810,-4.7580847103,0.3888160364,0.4783286416
required_4,adaptive_close,2025-07-11,0.0093080853,0.1439594349,-0.1346513496,-0.1177064024,-0.5292557752,0.1286817338,-4.1129052242,0.4134496947,0.4904783222
required_4,adaptive_close,2025-07-14,0.0232062677,0.1466755534,-0.1234692857,-0.1076758681,-0.4814254956,0.1303813294,-3.6924419928,0.4225578121,0.4878455289
required_4,adaptive_close,2025-07-15,0.0005742650,0.1492337297,-0.1486594647,-0.1293552920,-0.5835675728,0.1276003226,-4.5734020177,0.4984012228,0.5322902074
required_4,adaptive_close,2025-07-16,0.0096733073,0.1464117781,-0.1367384708,-0.1192751796,-0.5349841917,0.1278377509,-4.1848686152,0.5060876336,0.5336895433
required_4,adaptive_close,2025-07-17,0.0155163877,0.1535269945,-0.1380106068,-0.1196422862,-0.5367098012,0.1277924613,-4.1998549502,0.5099791081,0.5351798601
required_4,adaptive_close,2025-07-18,0.0158332389,0.1402160205,-0.1243827816,-0.1090870320,-0.4863151633,0.1258773697,-3.8634042361,0.5237724482,0.5427483763
required_4,adaptive_close,2025-07-21,0.0434156103,0.1527160886,-0.1093004783,-0.0948199469,-0.4185254237,0.1287912439,-3.2496419087,0.5841379116,0.5680049073
required_4,adaptive_close,2025-07-22,0.0497920901,0.1490161007,-0.0992240106,-0.0863556312,-0.3792936529,0.1288042032,-2.9447303997,0.5874946675,0.5686357825
required_4,adaptive_close,2025-07-23,0.0402367985,0.1477044190,-0.1074676205,-0.0936370190,-0.4127531570,0.1280417862,-3.2235816853,0.6034529003,0.5793186886
required_4,adaptive_close,2025-07-24,0.0484310350,0.1579612384,-0.1095302034,-0.0945888340,-0.4172853161,0.1280806753,-3.2579881010,0.6070422981,0.5847487938
required_4,adaptive_close,2025-07-25,0.0495131521,0.1757635647,-0.1262504125,-0.1073773813,-0.4766541801,0.1241923573,-3.8380315059,0.6409040032,0.5993643730
required_4,adaptive_close,2025-07-28,0.0519255106,0.1696232788,-0.1176977682,-0.1006287839,-0.4448797185,0.1234371084,-3.6041002915,0.6474616874,0.6029915218
required_4,adaptive_close,2025-07-29,0.0486257675,0.1619818000,-0.1133560325,-0.0975540516,-0.4304730175,0.1232336016,-3.4931464454,0.6503669482,0.6054185909
required_4,adaptive_close,2025-07-30,0.0413206210,0.1332152259,-0.0918946049,-0.0810919257,-0.3533573371,0.1151261638,-3.0693052328,0.7347883470,0.6456457450
required_4,adaptive_close,2025-07-31,0.0275859561,0.1099932111,-0.0824072550,-0.0742412244,-0.3221163469,0.1146921939,-2.8085289503,0.7478442800,0.6642852343
required_4,adaptive_close,2025-08-01,0.0382409758,0.1066597539,-0.0684187781,-0.0618245833,-0.2658070090,0.1136358552,-2.3391121457,0.7707545405,0.6741036907
required_4,adaptive_close,2025-08-04,0.0655125984,0.1255719208,-0.0600593225,-0.0533589381,-0.2277922097,0.1148301128,-1.9837323521,0.7795158107,0.6705525710
required_4,adaptive_close,2025-08-05,0.0829512855,0.1277240844,-0.0447727989,-0.0397019089,-0.1672045124,0.1139221237,-1.4677088791,0.8094795771,0.6859056502
required_4,adaptive_close,2025-08-06,0.1140470875,0.1331987821,-0.0191516946,-0.0169005605,-0.0695303570,0.1072766593,-0.6481405877,0.7907690210,0.7016268887
required_4,adaptive_close,2025-08-07,0.1274850413,0.1314230638,-0.0039380225,-0.0034805924,-0.0128009948,0.1049827869,-0.1219342252,0.7858783579,0.7085264668
required_4,adaptive_close,2025-08-08,0.1574777258,0.1408846703,0.0165930555,0.0145440253,0.0625592033,0.1057818441,0.5913983049,0.7721933776,0.6987503934
required_4,adaptive_close,2025-08-11,0.1825824438,0.1517077591,0.0308746847,0.0268077422,0.1124743133,0.1006667529,1.1172935452,0.7669329653,0.7206106440
required_4,adaptive_close,2025-08-12,0.1624645251,0.1378864252,0.0245780999,0.0215997831,0.0908536016,0.1002059211,0.9066689930,0.7558303029,0.7170330584
required_4,adaptive_close,2025-08-13,0.1593213954,0.1280389981,0.0312823973,0.0277316629,0.1162369736,0.0980765309,1.1851660379,0.7764107217,0.7277084204
required_4,adaptive_close,2025-08-14,0.1289541887,0.1126683293,0.0162858594,0.0146367601,0.0631092966,0.0984608270,0.6409584248,0.8433584975,0.7630659184
required_4,adaptive_close,2025-08-15,0.1470160310,0.1388235116,0.0081925195,0.0071938447,0.0317769665,0.1004112319,0.3164682466,0.8095617542,0.7440322464
required_4,adaptive_close,2025-08-18,0.1683286952,0.1617647826,0.0065639125,0.0056499497,0.0251987522,0.1005374807,0.2506403782,0.7962997724,0.7350165949
required_4,adaptive_close,2025-08-19,0.1716943481,0.1594273382,0.0122670099,0.0105802317,0.0458460668,0.0996217803,0.4602012402,0.8036981323,0.7395770630
required_4,adaptive_close,2025-08-20,0.1788720036,0.1611585420,0.0177134616,0.0152549897,0.0653368082,0.0991995067,0.6586404547,0.8100208076,0.7436749254
required_4,adaptive_close,2025-08-21,0.1843730256,0.1627507952,0.0216222304,0.0185957563,0.0792203475,0.0998430560,0.7934487449,0.8085823500,0.7405728603
required_4,adaptive_close,2025-08-22,0.1728190038,0.1508595328,0.0219594710,0.0190809307,0.0814037209,0.0997439272,0.8161270878,0.8166618011,0.7395981797
required_4,adaptive_close,2025-08-25,0.1808437480,0.1729670849,0.0078766631,0.0067151612,0.0303843044,0.0983035802,0.3090864481,0.8386075844,0.7412773395
required_4,adaptive_close,2025-08-26,0.2010859804,0.1742015149,0.0268844656,0.0228959554,0.0973774943,0.0931064561,1.0458726329,0.8590200676,0.7661731527
required_4,adaptive_close,2025-08-27,0.1511974705,0.1316586110,0.0195388594,0.0172656835,0.0753694784,0.0945325183,0.7972862645,0.9409271056,0.8092083951
required_4,adaptive_close,2025-08-28,0.1513487090,0.1340845574,0.0172641516,0.0152229845,0.0669196483,0.0948208781,0.7057480340,0.9399505286,0.8079025246
required_4,adaptive_close,2025-08-29,0.1717355782,0.1294974331,0.0422381451,0.0373955211,0.1585628457,0.1044272619,1.5184047048,0.9265411928,0.7756954477
required_4,adaptive_close,2025-09-01,0.1806059675,0.1296462533,0.0509597142,0.0451112143,0.1900096724,0.1043386108,1.8210868538,0.9399478677,0.7799619957
required_4,adaptive_close,2025-09-02,0.1542412972,0.1222602483,0.0319810489,0.0284969988,0.1222973060,0.0978608760,1.2497058173,0.9639442912,0.8098072884
required_4,adaptive_close,2025-09-03,0.1259681390,0.0936958165,0.0322723226,0.0295075853,0.1264825086,0.0978032768,1.2932338542,0.9720919523,0.8236601927
